cluster_id	cluster_size	n_genes	n_protein_coding	n_pseudogene	n_other	mixed_pc_pseudo	gene_names	window_bp
C1_5e989398c7	218	1	0	0	218	0	SNHG1	250
C2_5f3e03c198	184	7	0	0	184	0	ENSG00000285702;ENSG00000304176;ENSG00000310533;ENSG00000310534;ENSG00000310535;ENSG00000310536;ENSG00000310537	250
C3_e3372abb54	169	1	0	0	169	0	GUSBP11	250
C4_cf3f417ba5	166	1	0	0	166	0	PVT1	250
C5_ea5196a3cb	116	6	100	0	16	0	LST1	250
C6_51d6586c17	114	3	0	0	114	0	ENSG00000304309;WASH6P	250
C7_510598062f	107	7	0	0	107	0	ENSG00000285702;ENSG00000304176;ENSG00000310533;ENSG00000310534;ENSG00000310535;ENSG00000310536;ENSG00000310537	250
C8_7b269d7b3f	100	1	0	0	100	0	WASH9P	250
C9_5155e270c8	99	1	0	0	99	0	MTMR9LP	250
C10_614d214fa3	99	1	0	0	99	0	ENSG00000304309	250
C11_ccaa37e74f	91	1	91	0	0	0	GSN	250
C12_d82cb94de3	90	1	90	0	0	0	ZBTB20	250
C13_adcc305b1b	90	3	0	0	90	0	ENSG00000295602;ENSG00000297805;ENSG00000300022	250
C14_f31f70c25e	85	1	0	0	85	0	ENSG00000306402	250
C15_8f4cf393f5	82	7	54	0	28	0	AGER	250
C16_805cc2b5e6	82	29	68	0	14	0	ENSG00000283784;ENSG00000283902;KIR2DL4	250
C17_88078fab7d	80	1	80	0	0	0	TEAD2	250
C18_509bbb6da1	79	2	0	0	79	0	PPP1R3B-DT	250
C19_58a31eddcd	78	2	0	0	78	0	ENSG00000291134;ENSG00000310523	250
C20_7475553a95	76	2	72	0	4	0	EEF1D	250
C21_5548134c07	74	1	0	0	74	0	ENSG00000291176	250
C22_82d8c75806	74	1	74	0	0	0	SORBS1	250
C23_03999b0239	73	1	0	0	73	0	WASH7P	250
C24_d70ccd0508	73	7	45	0	28	0	EHMT2	250
C25_f6ddc66dc4	73	1	0	0	73	0	FAM66A	250
C26_6252a5e153	71	4	0	0	71	0	ENSG00000285702;ENSG00000304176;ENSG00000310534;ENSG00000310535	250
C27_07c1bdbbb0	70	1	0	0	70	0	MIR9-1HG	250
C28_f9c3d6067a	68	6	0	0	68	0	ENSG00000304176;ENSG00000310533;ENSG00000310534;ENSG00000310535;ENSG00000310536;ENSG00000310537	250
C29_5e909f8d61	67	3	0	0	67	0	ENSG00000295602;ENSG00000297805;ENSG00000300022	250
C30_ba26225223	67	3	0	0	67	0	ENSG00000294171;H19	250
C31_c597afe788	66	1	0	0	66	0	SNHG1	250
C32_f5d7c6b8e6	65	5	61	0	4	0	DDR1	250
C33_40ef0be81c	64	1	0	0	64	0	WASH7P	250
C34_715e24acbc	64	1	0	0	64	0	WASH9P	250
C35_9995655530	64	1	0	0	64	0	GIRGL	250
