cluster_id	cluster_size	n_genes	n_protein_coding	n_pseudogene	n_other	mixed_pc_pseudo	gene_names	window_bp
C1_e9515395f7	187	1	0	0	187	0	SNHG1	500
C2_cc7b73143d	90	1	90	0	0	0	ZBTB20	500
C3_8e0dad201a	88	1	88	0	0	0	GSN	500
C4_5f848e1241	82	29	68	0	14	0	ENSG00000283784;ENSG00000283902;KIR2DL4	500
C5_eaa83edcd1	80	1	80	0	0	0	TEAD2	500
C6_d41ecd9552	75	2	72	0	3	0	EEF1D	500
C7_6ba2da35f1	74	1	74	0	0	0	SORBS1	500
C8_bafa276b69	73	7	45	0	28	0	EHMT2	500
C9_ab46eafeb2	73	1	0	0	73	0	FAM66A	500
C10_28c7aeb750	73	1	0	0	73	0	ENSG00000304309	500
C11_c843c34bc9	63	1	63	0	0	0	LRRFIP2	500
C12_af51eb503b	63	3	0	0	63	0	ENSG00000294171;H19	500
C13_755bf5c389	63	1	0	0	63	0	GUSBP11	500
C14_29cecba0f4	61	1	0	0	61	0	GUSBP11	500
C15_85b8aa2e28	60	1	0	0	60	0	MTMR9LP	500
C16_26e02ddad6	60	1	57	0	3	0	SUN1	500
C17_a8441b0743	59	1	59	0	0	0	PUM1	500
C18_fa3fb35543	58	1	0	0	58	0	WASH9P	500
C19_07e6e81827	56	7	21	0	35	0	NRM	500
C20_98162ef5f7	56	1	0	0	56	0	SNHG1	500
C21_7204a8660e	56	1	0	0	56	0	ENSG00000304309	500
C22_a6cef4af06	55	1	53	0	2	0	DGLUCY	500
C23_57db569856	55	1	0	0	55	0	ENSG00000290927	500
C24_edf8d280f0	55	1	0	0	55	0	MIR663AHG	500
C25_4d7b985e61	54	1	0	0	54	0	GIRGL	500
C26_5b1a0c18bb	54	1	54	0	0	0	CNDP2	500
C27_bd84fa3111	53	1	2	0	51	0	MTO1	500
C28_bce81a2c84	52	10	26	0	26	0	ATP6V1G2-DDX39B;DDX39B;ENSG00000254899	500
C29_7d5c1f678c	52	7	45	0	7	0	AGPAT1	500
C30_559377efeb	52	1	52	0	0	0	PPP6R3	500
C31_71d65ab7d1	51	2	0	0	51	0	ENSG00000291134;ENSG00000310523	500
C32_eed85b58f8	51	1	51	0	0	0	SORBS2	500
C33_95d2c96469	51	3	49	0	2	0	DDR1	500
C34_c892f0a2c1	51	1	50	0	1	0	EPB41L2	500
C35_ee1a9b7652	50	1	48	0	2	0	PFKM	500
C36_86188d48e0	50	2	50	0	0	0	SERPINF2	500
C37_f0b2a5ea65	49	1	0	0	49	0	PDE4DIPP6	500
C38_c062057226	49	1	48	0	1	0	PHC1	500
C39_9aaff14920	49	1	49	0	0	0	ZFAND6	500
C40_2dd23582cd	49	1	49	0	0	0	ARMCX2	500
C41_4eb477703d	49	9	49	0	0	0	OSCAR	500
C42_0840a46535	48	2	0	0	48	0	CDRT15P3;LINC03124	500
C43_f0a5ed2d52	48	6	6	0	42	0	MUC4	500
C44_5c50734695	48	1	31	0	17	0	TRIM2	500
C45_4601ffbdfb	48	1	0	0	48	0	ENSG00000304309	500
C46_00fec595e6	48	6	30	0	18	0	MPIG6B	500
C47_7dc276c1ae	47	1	47	0	0	0	FOXP1	500
C48_fd0ea1b0d8	47	1	47	0	0	0	MADD	500
C49_d7f9bfb31f	47	1	0	0	47	0	SNHG14	500
C50_77b1ff09b4	46	1	0	0	46	0	WASH9P	500
C51_cc396468d4	46	1	46	0	0	0	PLS1	500
C52_d07a546e5c	45	7	0	0	45	0	HCG18	500
C53_cbb1675b58	44	1	44	0	0	0	NFYC	500
C54_7c96fa7da9	44	3	7	0	37	0	GBA1;GBA1LP	500
C55_2d0b1e191c	44	1	29	0	15	0	TAF6	500
C56_1e572a2d68	44	1	24	0	20	0	MTMR2	500
C57_655e8c7c0c	43	1	0	0	43	0	WASH7P	500
C58_3f9360f676	43	1	43	0	0	0	MIB2	500
C59_954f28b09d	43	1	43	0	0	0	ZBTB20	500
C60_851086d8e4	43	7	22	0	21	0	DDAH2	500
C61_a855fde4de	43	6	17	0	26	0	WHR1	500
C62_f9b2f5cecb	43	3	43	0	0	0	PTP4A3	500
C63_326179b7c9	43	1	0	0	43	0	ENSG00000290823	500
C64_6d19a5e277	43	1	43	0	0	0	UBA1	500
C65_142dd89e55	42	1	0	0	42	0	LINC00635	500
C66_f605d2fd9f	41	1	41	0	0	0	ZBTB20	500
C67_248321b9b9	41	1	41	0	0	0	TFR2	500
C68_4ddf89a92e	40	1	40	0	0	0	LRRFIP2	500
C69_4274619a25	40	1	35	0	5	0	TFG	500
C70_d99f195579	39	1	39	0	0	0	PUM1	500
C71_9c65173fad	39	1	13	0	26	0	STAMBP	500
C72_b770d4b8be	39	1	39	0	0	0	BIN1	500
C73_f412b838ac	39	1	38	0	1	0	LRRFIP1	500
C74_0df8532873	39	1	32	0	7	0	ANK2	500
C75_2d3bf6dfa2	39	8	15	0	24	0	PRRT1	500
C76_b60c71afff	39	1	0	0	39	0	PVT1	500
C77_a6b5e0c5b3	39	1	39	0	0	0	GSN	500
C78_39ffd7b88e	38	1	38	0	0	0	EGFL7	500
C79_bee9beaffb	38	1	38	0	0	0	SHLD2	500
C80_2f15b3d1fd	38	1	38	0	0	0	DGLUCY	500
C81_03ed802ea1	37	1	34	0	3	0	MUTYH	500
C82_ee00b443f9	37	1	36	0	1	0	LRRFIP2	500
C83_58e1382d55	37	1	0	0	37	0	LINC-PINT	500
C84_f59aadf49c	37	2	33	0	4	0	SLC52A2	500
C85_81b4562a55	37	1	37	0	0	0	SFTPA1	500
C86_44599ba615	37	1	36	0	1	0	NDRG2	500
C87_deec0aa4d0	37	1	3	0	34	0	BBS2	500
C88_732d1e4066	37	1	0	0	37	0	MIR99AHG	500
C89_775505cd69	37	2	37	0	0	0	FAM156A;FAM156B	500
C90_691879f33c	36	1	33	0	3	0	MIB2	500
C91_0c8c2b891b	36	2	0	0	36	0	LINC00869;LINC01145	500
C92_19b4332e98	36	7	15	0	21	0	PRR3	500
C93_3332c4eb25	36	1	36	0	0	0	HMGA1	500
C94_ff42e5eff7	35	1	35	0	0	0	EPHX1	500
C95_43ed5a9939	35	1	33	0	2	0	COQ8A	500
C96_414fde9a0c	35	1	35	0	0	0	SPATS2L	500
C97_57ad809765	35	1	16	0	19	0	IFT122	500
C98_20562053f1	35	3	29	0	6	0	GTF2I;GTF2IP1;GTF2IP4	500
