cluster_id	cluster_size	n_genes	n_protein_coding	n_pseudogene	n_other	mixed_pc_pseudo	gene_names	window_bp
C1_43dd50b66f	187	1	0	0	187	0	SNHG1	600
C2_705c1a0d50	90	1	90	0	0	0	ZBTB20	600
C3_b041bc2de8	87	1	87	0	0	0	GSN	600
C4_1b3ad666be	82	29	68	0	14	0	ENSG00000283784;ENSG00000283902;KIR2DL4	600
C5_05f53af7b8	80	1	80	0	0	0	TEAD2	600
C6_cd859c0182	74	2	72	0	2	0	EEF1D	600
C7_eaa6cad749	74	1	74	0	0	0	SORBS1	600
C8_69ef5cdfc3	73	7	45	0	28	0	EHMT2	600
C9_045de6104f	73	1	0	0	73	0	FAM66A	600
C10_ec1648b9bd	73	1	0	0	73	0	ENSG00000304309	600
C11_c7799570c8	63	1	63	0	0	0	LRRFIP2	600
C12_9f85d2bac2	61	3	0	0	61	0	ENSG00000294171;H19	600
C13_51d86795bf	60	1	57	0	3	0	SUN1	600
C14_40adf13fa6	59	1	59	0	0	0	PUM1	600
C15_fa10188984	56	1	0	0	56	0	WASH9P	600
C16_2a207e0723	56	7	21	0	35	0	NRM	600
C17_627e99fbe0	56	1	0	0	56	0	SNHG1	600
C18_6013c67c9c	55	1	0	0	55	0	MTMR9LP	600
C19_0a6bceca49	55	1	53	0	2	0	DGLUCY	600
C20_e8b5211741	54	1	54	0	0	0	CNDP2	600
C21_d086390783	53	1	2	0	51	0	MTO1	600
C22_aeefcf01f2	52	1	52	0	0	0	PPP6R3	600
C23_8047fd05e0	51	1	51	0	0	0	SORBS2	600
C24_3529b4ec83	51	3	49	0	2	0	DDR1	600
C25_8d7367d42f	51	1	50	0	1	0	EPB41L2	600
C26_98b2234a97	50	1	48	0	2	0	PFKM	600
C27_1ea29b6cb8	50	2	50	0	0	0	SERPINF2	600
C28_94eaadef39	49	1	48	0	1	0	PHC1	600
C29_84a10a8b8f	49	1	49	0	0	0	ZFAND6	600
C30_f33e98138c	49	1	49	0	0	0	ARMCX2	600
C31_65f5d5bbfc	49	9	49	0	0	0	OSCAR	600
C32_15ce8a98f2	48	2	0	0	48	0	CDRT15P3;LINC03124	600
C33_c0a2c41c42	48	6	6	0	42	0	MUC4	600
C34_7d21c03ea2	48	1	31	0	17	0	TRIM2	600
C35_fe1280cb5f	48	6	30	0	18	0	MPIG6B	600
C36_88e96293b2	47	1	47	0	0	0	FOXP1	600
C37_3b32319a72	47	1	47	0	0	0	MADD	600
C38_ceb1dbad10	47	1	0	0	47	0	SNHG14	600
C39_12c8f1d54d	46	1	0	0	46	0	ENSG00000310523	600
C40_ce566f073d	46	1	46	0	0	0	PLS1	600
C41_c3421a11b1	46	1	0	0	46	0	ENSG00000304309	600
C42_a8ede65de4	44	1	0	0	44	0	WASH9P	600
C43_cf3a6e7826	44	1	44	0	0	0	NFYC	600
C44_83e0a59132	44	10	26	0	18	0	ATP6V1G2-DDX39B;DDX39B;ENSG00000254899	600
C45_289b86809c	44	1	29	0	15	0	TAF6	600
C46_37fba520d3	44	1	24	0	20	0	MTMR2	600
C47_70e05d3685	43	1	43	0	0	0	MIB2	600
C48_45bf997720	43	1	43	0	0	0	ZBTB20	600
C49_6c09dbd60d	42	2	5	0	37	0	GBA1;GBA1LP	600
C50_6efe872d3d	42	1	0	0	42	0	LINC00635	600
C51_107dabd032	42	6	36	0	6	0	AGPAT1	600
C52_3ffd3b638e	41	1	41	0	0	0	ZBTB20	600
C53_bb218b3181	41	1	41	0	0	0	TFR2	600
C54_91a81e83a8	40	1	40	0	0	0	LRRFIP2	600
C55_babd3fae88	40	1	35	0	5	0	TFG	600
C56_3499a6f298	40	1	40	0	0	0	UBA1	600
C57_d67dc86fab	39	1	39	0	0	0	PUM1	600
C58_8fe90c9cca	39	1	13	0	26	0	STAMBP	600
C59_31350d821b	39	1	39	0	0	0	BIN1	600
C60_de26531f6c	39	1	38	0	1	0	LRRFIP1	600
C61_4406472da3	39	1	32	0	7	0	ANK2	600
C62_888b4f1c89	39	8	15	0	24	0	PRRT1	600
C63_3e1a64007f	38	6	0	0	38	0	HCG18	600
C64_cadc027232	38	1	38	0	0	0	SHLD2	600
C65_199c2f6024	38	1	38	0	0	0	DGLUCY	600
C66_2fbf0639da	38	1	0	0	38	0	GUSBP11	600
C67_55fdca1daa	37	1	34	0	3	0	MUTYH	600
C68_ef187aac42	37	1	36	0	1	0	LRRFIP2	600
C69_350e4055ea	37	1	0	0	37	0	LINC-PINT	600
C70_8e4d4902f5	37	1	37	0	0	0	GSN	600
C71_b705a1a68d	37	1	37	0	0	0	SFTPA1	600
C72_99062b3094	37	1	36	0	1	0	NDRG2	600
C73_03f5f0ea53	37	1	0	0	37	0	ENSG00000290823	600
C74_aba5a2c74b	37	1	3	0	34	0	BBS2	600
C75_e8d5dff678	37	1	0	0	37	0	MIR99AHG	600
